9 9
54 65 71 98 51 93 52 96 92 
93 52 96 92 57 8 33 78 72 
8 33 78 72 67 96 84 57 81 
96 84 57 81 39 54 82 71 1 
54 82 71 1 76 81 81 45 63 
81 81 45 63 90 64 86 38 37 
64 86 38 37 82 21 20 51 99 
21 20 51 99 74 49 29 82 82 
49 29 82 82 10 63 27 73 5 

69 18 14 0 47 55 50 69 19 
55 50 69 19 69 70 61 17 30 
70 61 17 30 7 34 55 87 73 
34 55 87 73 77 27 27 83 5 
27 27 83 5 82 11 90 14 25 
11 90 14 25 12 5 48 1 94 
5 48 1 94 82 90 42 14 94 
90 42 14 94 22 16 53 78 23 
16 53 78 23 65 20 37 42 32 

93 76 9 50 13 98 48 37 72 
98 48 37 72 20 20 71 35 80 
20 71 35 80 59 25 33 58 55 
25 33 58 55 78 81 30 29 95 
81 30 29 95 28 7 76 48 80 
7 76 48 80 48 9 45 43 98 
9 45 43 98 70 94 41 35 94 
94 41 35 94 75 53 58 51 3 
53 58 51 3 65 27 3 45 27 

73 8 49 85 43 1 49 64 67 
1 49 64 67 92 63 3 75 42 
63 3 75 42 32 97 17 44 62 
97 17 44 62 42 86 35 78 46 
86 35 78 46 36 64 99 16 98 
64 99 16 98 62 80 31 9 15 
80 31 9 15 80 63 59 47 63 
63 59 47 63 45 21 7 26 93 
21 7 26 93 23 78 9 21 40 

16 11 59 31 34 76 87 1 74 
76 87 1 74 98 43 2 75 87 
43 2 75 87 69 55 83 21 1 
55 83 21 1 52 44 35 94 24 
44 35 94 24 63 27 60 60 53 
27 60 60 53 55 25 69 42 16 
25 69 42 16 24 74 37 17 46 
74 37 17 46 33 25 36 5 8 
25 36 5 8 63 17 69 68 24 

81 61 39 90 66 12 94 80 48 
12 94 80 48 49 13 53 0 96 
13 53 0 96 85 85 53 53 62 
85 53 53 62 34 44 92 39 34 
44 92 39 34 56 52 81 87 11 
52 81 87 11 94 71 2 83 82 
71 2 83 82 39 2 55 99 88 
2 55 99 88 99 13 52 4 0 
13 52 4 0 4 38 88 67 84 

18 63 96 19 1 21 43 44 26 
21 43 44 26 89 58 71 15 20 
58 71 15 20 92 72 23 35 91 
72 23 35 91 41 22 36 46 16 
22 36 46 16 58 5 18 78 27 
5 18 78 27 76 75 1 54 83 
75 1 54 83 26 69 8 36 25 
69 8 36 25 82 66 11 67 49 
66 11 67 49 16 85 28 96 62 

45 28 7 98 8 79 3 73 67 
79 3 73 67 97 95 30 75 1 
95 30 75 1 12 33 91 42 70 
33 91 42 70 88 36 79 42 16 
36 79 42 16 10 22 24 79 53 
22 24 79 53 72 67 96 28 33 
67 96 28 33 81 49 81 50 32 
49 81 50 32 69 24 79 20 23 
24 79 20 23 2 45 2 7 17 

42 74 53 88 27 42 81 70 43 
42 81 70 43 44 38 63 53 29 
38 63 53 29 19 83 29 73 4 
83 29 73 4 23 48 11 2 72 
48 11 2 72 5 79 36 28 32 
79 36 28 32 74 78 1 21 85 
78 1 21 85 85 9 99 42 36 
9 99 42 36 47 26 14 11 57 
26 14 11 57 93 47 38 77 73 

1 85 88 6 24 86 5 85 4 
86 5 85 4 25 9 44 66 82 
9 44 66 82 57 86 25 80 8 
86 25 80 8 27 65 35 95 76 
65 35 95 76 73 32 87 6 5 
32 87 6 5 96 64 83 86 54 
64 83 86 54 69 52 29 75 93 
52 29 75 93 94 93 36 18 23 
93 36 18 23 68 5 29 25 53 

42 13 68 86 57 73 22 10 46 
73 22 10 46 10 94 15 88 19 
94 15 88 19 12 11 37 48 5 
11 37 48 5 31 48 99 3 8 
48 99 3 8 24 36 58 31 52 
36 58 31 52 5 10 90 27 71 
10 90 27 71 1 32 85 16 54 
32 85 16 54 85 87 63 63 27 
87 63 63 27 51 73 10 3 78 

64 76 1 49 47 46 42 47 58 
46 42 47 58 38 75 27 58 29 
75 27 58 29 5 60 38 95 21 
60 38 95 21 54 94 33 86 27 
94 33 86 27 31 47 62 97 77 
47 62 97 77 89 37 54 7 46 
37 54 7 46 14 12 58 3 82 
12 58 3 82 4 49 10 14 69 
49 10 14 69 57 28 18 35 18 

26 56 90 28 92 51 83 58 9 
51 83 58 9 43 14 41 27 34 
14 41 27 34 55 10 9 55 69 
10 9 55 69 35 67 87 70 19 
67 87 70 19 38 41 25 10 19 
41 25 10 19 40 82 73 0 10 
82 73 0 10 35 80 15 13 35 
80 15 13 35 34 10 34 43 59 
10 34 43 59 75 69 70 47 9 

46 84 62 87 87 58 51 57 34 
58 51 57 34 16 38 28 45 73 
38 28 45 73 15 4 25 25 77 
4 25 25 77 72 54 75 66 66 
54 75 66 66 86 2 6 65 55 
2 6 65 55 45 16 6 56 24 
16 6 56 24 10 11 84 17 61 
11 84 17 61 38 45 31 55 31 
45 31 55 31 86 61 96 41 6 

40 68 17 8 93 28 65 68 45 
28 65 68 45 60 40 25 76 28 
40 25 76 28 32 46 35 64 58 
46 35 64 58 75 60 31 84 11 
60 31 84 11 59 8 83 1 75 
8 83 1 75 24 59 45 89 90 
59 45 89 90 91 90 76 86 20 
90 76 86 20 88 58 78 85 71 
58 78 85 71 39 68 25 66 92 

88 87 68 79 14 9 21 33 60 
9 21 33 60 87 39 44 15 46 
39 44 15 46 0 77 51 91 67 
77 51 91 67 92 30 99 22 97 
30 99 22 97 8 95 75 78 1 
95 75 78 1 66 54 57 21 5 
54 57 21 5 34 80 40 87 77 
80 40 87 77 70 96 50 70 79 
96 50 70 79 97 97 9 50 63 

20 88 48 35 72 35 23 77 23 
35 23 77 23 47 70 2 85 93 
70 2 85 93 14 32 57 55 5 
32 57 55 5 77 87 0 24 24 
87 0 24 24 87 83 67 72 21 
83 67 72 21 37 6 53 73 93 
6 53 73 93 37 95 0 75 62 
95 0 75 62 87 86 12 77 32 
86 12 77 32 96 96 56 69 85 
